recno,rho,T,P,u
117,5.0E-7,100.0,2.062475E-7,-1589.082
118,6.0E-7,100.0,2.474969E-7,-1589.082
119,7.0E-7,100.0,2.887463E-7,-1589.082
120,8.0E-7,100.0,3.299955E-7,-1589.082
121,9.0E-7,100.0,3.712448E-7,-1589.082
122,1.0E-6,100.0,4.12494E-7,-1589.082
123,2.0E-6,100.0,8.249846E-7,-1589.082
124,3.0E-6,100.0,1.237471E-6,-1589.082
125,4.0E-6,100.0,1.649952E-6,-1589.082
126,5.0E-6,100.0,2.062431E-6,-1589.082
127,6.0E-6,100.0,2.474907E-6,-1589.082
128,7.0E-6,100.0,2.887378E-6,-1589.082
129,8.0E-6,100.0,3.299845E-6,-1589.082
130,9.0E-6,100.0,3.712308E-6,-1589.082
131,1.0E-5,100.0,4.124767E-6,-1589.082
132,2.0E-5,100.0,8.249153E-6,-1589.082
133,3.0E-5,100.0,1.237316E-5,-1589.082
134,4.0E-5,100.0,1.649678E-5,-1589.082
135,5.0E-5,100.0,2.062002E-5,-1589.082
136,6.0E-5,100.0,2.474288E-5,-1589.082
137,7.0E-5,100.0,2.886535E-5,-1589.082
138,8.0E-5,100.0,3.298744E-5,-1589.082
139,9.0E-5,100.0,3.710914E-5,-1589.082
140,1.0E-4,100.0,4.123047E-5,-1589.082
141,2.0E-4,100.0,8.242283E-5,-1589.083
142,3.0E-4,100.0,1.235772E-4,-1589.084
143,4.0E-4,100.0,1.646936E-4,-1589.084
144,5.0E-4,100.0,2.057723E-4,-1589.085
145,6.0E-4,100.0,2.468135E-4,-1589.086
146,7.0E-4,100.0,2.878171E-4,-1589.086
147,8.0E-4,100.0,3.287833E-4,-1589.087
148,9.0E-4,100.0,3.697123E-4,-1589.088
149,0.001,100.0,4.106043E-4,-1589.089
150,0.002,100.0,8.175164E-4,-1589.096
151,0.003,100.0,0.00122088,-1589.103
152,0.004,100.0,0.001620852,-1589.11
153,0.005,100.0,0.002017602,-1589.118
154,0.006,100.0,0.002411311,-1589.125
155,0.007,100.0,0.00280218,-1589.132
156,0.008,100.0,0.003190404,-1589.139
157,0.009,100.0,0.003576189,-1589.147
158,0.01,100.0,0.003959806,-1589.155
159,0.02,100.0,0.007741173,-1589.23
160,0.03,100.0,0.011698,-1589.308
161,0.04,100.0,0.01639655,-1589.386
162,0.05,100.0,0.02267457,-1589.462
163,0.06,100.0,0.03169796,-1589.535
164,0.07,100.0,0.04500972,-1589.603
165,0.08,100.0,0.06459994,-1589.661
166,0.09,100.0,0.0928337,-1589.708
167,0.1,100.0,0.1325878,-1589.738
168,0.2,100.0,2.56062,-1586.694
169,0.3,100.0,9.428092,-1579.138
170,0.4,100.0,21.68297,-1567.807
171,0.5,100.0,39.48824,-1555.155
172,0.6,100.0,61.81337,-1537.624
173,0.7,100.0,90.99788,-1519.996
174,0.8,100.0,124.0146,-1501.591
175,0.9,100.0,162.775,-1483.83
176,1.0,100.0,215.6176,-1464.158
177,1.2,100.0,324.2164,-1427.982
178,1.4,100.0,469.2385,-1381.496
179,1.6,100.0,631.071,-1332.215
